period,interest_rate,inflation_yoy,growth_proxy_yoy
1990-02-28,8.24,5.1293294387550485,0.4952070729176896
1990-03-31,8.28,5.104776506602394,0.7423665291343954
1990-04-30,8.26,4.603987675473402,0.495009580710504
1990-05-31,8.18,4.272801845415449,1.3688294613965075
1990-06-30,8.29,4.567723146599251,1.7150215832036348
1990-07-31,8.15,4.706751085798573,2.509530236575901
1990-08-31,8.13,5.546130298645443,1.8831432193610491
1990-09-30,8.2,5.9870189490949715,2.2046649897175157
1990-10-31,8.11,6.184350528270306,1.7535754881917356
1990-11-30,7.81,6.011054305759584,0.13652586758955942
1990-12-31,7.31,6.067119518113591,-1.1470566202347896
1991-01-31,6.91,5.49337188178374,-0.9661124511985799
1991-02-28,6.25,5.176193455858958,-2.6117701550174015
1991-03-31,6.12,4.708538667468786,-3.6857943808214153
1991-04-30,5.91,4.69783350210113,-3.1599550008218023
1991-05-31,5.78,4.912207765369842,-2.5266302726750305
1991-06-30,5.9,4.588996205949812,-2.058172450464535
1991-07-31,5.82,4.275116695266391,-1.6036159483543624
1991-08-31,5.66,3.72899282454728,-1.953424915816147
1991-09-30,5.45,3.339828040184801,-1.1708841321057046
1991-10-31,5.21,2.808758181026142,-0.6395790015675138
1991-11-30,4.81,3.020487447166097,0.4817738043589355
1991-12-31,4.43,2.9370686795988195,0.730995032220049
1992-01-31,4.03,2.6375155254394413,0.5319877372007836
1992-02-29,4.06,2.779988827759601,1.9770703029326895
1992-03-31,3.98,3.140090045119042,3.4031264296116706
1992-04-30,3.73,3.1332253360270417,3.895758736880022
1992-05-31,3.82,2.9787890756621005,3.2873127932386526
1992-06-30,3.76,2.9701567606909207,2.5314437179315057
1992-07-31,3.25,3.1083095058388595,3.168268338667768
1992-08-31,3.3,3.0283496587252365,2.6086468487659755
1992-09-30,3.22,2.9487933030643445,2.1477924708438945
1992-10-31,3.1,3.22724314048499,2.875341723153254
1992-11-30,3.09,3.0727676523496577,3.412207773536855
1992-12-31,2.92,2.9235593762237397,4.068395841129199
1993-01-31,3.02,3.2019811234771574,4.976776492529162
1993-02-28,3.03,3.1951599806602426,4.753726921232648
1993-03-31,3.07,2.9747235904728995,3.8173833479459724
1993-04-30,2.96,3.1075946960522742,3.335177181629833
1993-05-31,3.0,3.1703958587932672,2.6274500309635274
1993-06-30,3.04,2.9538012436864087,2.801542516318522
1993-07-31,3.06,2.8072018778686307,2.154360358756766
1993-08-31,3.03,2.8013036227673886,2.5944689811368558
1993-09-30,3.09,2.726488356180611,2.7943062955201796
1993-10-31,2.99,2.71509890659509,2.851782469270568
1993-11-30,3.02,2.7075586605281527,2.929178544766089
1993-12-31,2.96,2.772180293027201,3.3509559928289745
1994-01-31,3.05,2.421425812059453,3.2550696907973893
1994-02-28,3.25,2.4845998586530804,2.8329034858924946
1994-03-31,3.34,2.617229277326554,3.935283919792459
1994-04-30,3.56,2.3368761007829404,4.250957223694238
1994-05-31,4.01,2.26269509290258,5.089164853736952
1994-06-30,4.25,2.464190393692893,5.536745087497225
1994-07-31,4.26,2.6631823180793193,5.400384005715764
1994-08-31,4.47,2.859282599384305,6.18921659229144
1994-09-30,4.73,2.922396212457042,5.974122686873156
1994-10-31,4.76,2.5764136936131465,6.045050568428731
1994-11-30,5.29,2.569444937478272,6.270412308772269
1994-12-31,5.45,2.5642430613337437,6.696527816292634
1995-01-31,5.53,2.8303776162851726,6.579213489393597
1995-02-28,5.92,2.822768062486738,6.4080715758647555
1995-03-31,5.98,2.749083613804083,5.559112631030389
1995-04-30,6.05,3.07716586667539,4.7967262477434
1995-05-31,6.01,3.071002348537261,4.8275673504005345
1995-06-30,6.0,2.997227353579172,4.485607524907357
1995-07-31,5.85,2.7908788117076444,3.933667682946874
1995-08-31,5.74,2.583780698955756,4.582414230899281
1995-09-30,5.8,2.5133598118493317,4.670876923491946
1995-10-31,5.76,2.707329432853481,3.6936730586155666
1995-11-30,5.8,2.5701579461430946,3.275611352410362
1995-12-31,5.6,2.50013022054174,2.6054512024954275
1996-01-31,5.56,2.7524673390089935,1.8613897035648368
1996-02-29,5.22,2.6807751145443417,3.427174426712549
1996-03-31,5.31,2.8042267873856246,3.138640047979782
1996-04-30,5.22,2.7932962559856813,4.301534453053591
1996-05-31,5.24,2.7878628845963602,4.556202116834056
1996-06-30,5.27,2.782450610942905,4.984654797732039
1996-07-31,5.4,2.8425686497951506,5.419018675313598
1996-08-31,5.22,2.77347670600895,4.612609904526104
1996-09-30,5.3,2.960319130535467,4.834055497599642
1996-10-31,5.24,3.015948830630154,5.039575643691953
1996-11-30,5.31,3.201297698781311,5.690853571435576
1996-12-31,5.29,3.322989449890764,5.9830359383729
1997-01-31,5.25,2.9929008777094337,6.7154308548965345
1997-02-28,5.19,2.987193830172009,6.449296542209597
1997-03-31,5.39,2.72773017128855,7.204408821124611
1997-04-30,5.51,2.405179231852233,6.331438446609332
1997-05-31,5.5,2.2131791728697814,6.139316182073676
1997-06-30,5.56,2.208988527228368,5.838522012731702
1997-07-31,5.52,2.142489008410606,6.67374167513179
1997-08-31,5.54,2.264247674975997,7.158712756032741
1997-09-30,5.54,2.1951336103535257,7.446507089868742
1997-10-31,5.5,2.0645087329157716,8.29968268306649
1997-11-30,5.52,1.8727139050697732,8.169633055362464
